turbostat version 18.07.27 - Len Brown <lenb@kernel.org>
CPUID(0): GenuineIntel 0xd CPUID levels; 0x80000008 xlevels; family:model:stepping 0x6:3a:9 (6:58:9)
CPUID(1): SSE3 MONITOR SMX EIST TM2 TSC MSR ACPI-TM HT TM
CPUID(6): APERF, TURBO, DTS, PTM, No-HWP, No-HWPnotify, No-HWPwindow, No-HWPepp, No-HWPpkg, EPB
cpu7: MSR_IA32_MISC_ENABLE: 0x00850089 (TCC EIST MWAIT PREFETCH TURBO)
CPUID(7): No-SGX
cpu7: MSR_MISC_PWR_MGMT: 0x00400000 (ENable-EIST_Coordination DISable-EPB DISable-OOB)
RAPL: 1456 sec. Joule Counter Range, at 45 Watts
cpu7: MSR_PLATFORM_INFO: 0x80c10f0011b00
12 * 100.0 = 1200.0 MHz max efficiency frequency
27 * 100.0 = 2700.0 MHz base frequency
cpu7: MSR_IA32_POWER_CTL: 0x0014005d (C1E auto-promotion: DISabled)
cpu7: MSR_TURBO_RATIO_LIMIT: 0x23232425
35 * 100.0 = 3500.0 MHz max turbo 4 active cores
35 * 100.0 = 3500.0 MHz max turbo 3 active cores
36 * 100.0 = 3600.0 MHz max turbo 2 active cores
37 * 100.0 = 3700.0 MHz max turbo 1 active cores
cpu7: MSR_CONFIG_TDP_NOMINAL: 0x0000001b (base_ratio=27)
cpu7: MSR_CONFIG_TDP_LEVEL_1: 0x120000000000000 (PKG_MIN_PWR_LVL1=288 PKG_MAX_PWR_LVL1=0 LVL1_RATIO=0 PKG_TDP_LVL1=0)
cpu7: MSR_CONFIG_TDP_LEVEL_2: 0x120000000000000 (PKG_MIN_PWR_LVL2=288 PKG_MAX_PWR_LVL2=0 LVL2_RATIO=0 PKG_TDP_LVL2=0)
cpu7: MSR_CONFIG_TDP_CONTROL: 0x80000000 ( lock=1)
cpu7: MSR_TURBO_ACTIVATION_RATIO: 0x00000000 (MAX_NON_TURBO_RATIO=0 lock=0)
cpu7: MSR_PKG_CST_CONFIG_CONTROL: 0x1e008404 (UNdemote-C3, UNdemote-C1, demote-C3, demote-C1, locked, pkg-cstate-limit=4 (pc7))
cpu7: POLL: CPUIDLE CORE POLL IDLE
cpu7: C1: MWAIT 0x00
cpu7: C1E: MWAIT 0x01
cpu7: C3: MWAIT 0x10
cpu7: C6: MWAIT 0x20
cpu7: C7: MWAIT 0x30
cpu7: cpufreq driver: intel_pstate
cpu7: cpufreq governor: performance
cpufreq intel_pstate no_turbo: 0
cpu7: MSR_MISC_FEATURE_CONTROL: 0x00000000 (L2-Prefetch L2-Prefetch-pair L1-Prefetch L1-IP-Prefetch)
cpu0: MSR_IA32_ENERGY_PERF_BIAS: 0x00000006 (balanced)
cpu0: MSR_RAPL_POWER_UNIT: 0x000a1003 (0.125000 Watts, 0.000015 Joules, 0.000977 sec.)
cpu0: MSR_PKG_POWER_INFO: 0x01200168 (45 W TDP, RAPL 36 - 0 W, 0.000000 sec.)
cpu0: MSR_PKG_POWER_LIMIT: 0x800081c200dc8168 (locked)
cpu0: PKG Limit #1: ENabled (45.000000 Watts, 28.000000 sec, clamp DISabled)
cpu0: PKG Limit #2: ENabled (56.250000 Watts, 0.000977* sec, clamp DISabled)
cpu0: MSR_PP0_POLICY: 0
cpu0: MSR_PP0_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: Cores Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_PP1_POLICY: 0
cpu0: MSR_PP1_POWER_LIMIT: 0x00000000 (UNlocked)
cpu0: GFX Limit: DISabled (0.000000 Watts, 0.000977 sec, clamp DISabled)
cpu0: MSR_IA32_TEMPERATURE_TARGET: 0x00691200 (105 C)
cpu0: MSR_IA32_PACKAGE_THERM_STATUS: 0x88320108 (55 C)
cpu0: MSR_IA32_PACKAGE_THERM_INTERRUPT: 0x00c1ad00 (40 C, 60 C)
cpu7: MSR_PKGC3_IRTL: 0x0000883b (valid, 60416 ns)
cpu7: MSR_PKGC6_IRTL: 0x00008850 (valid, 81920 ns)
cpu7: MSR_PKGC7_IRTL: 0x00008857 (valid, 89088 ns)
Avg_MHz	Busy%	Bzy_MHz	TSC_MHz	IRQ	SMI	POLL	C1	C1E	C3	C6	C7	POLL%	C1%	C1E%	C3%	C6%	C7%	CPU%c1	CPU%c3	CPU%c6	CPU%c7	CoreTmp	PkgTmp	GFX%rc6	GFXMHz	Pkg%pc2	Pkg%pc3	Pkg%pc6	Pkg%pc7	PkgWatt	CorWatt	GFXWatt
462	12.48	3699	2703	446	0	0	0	0	0	0	221	0.00	0.00	0.00	0.00	0.00	87.88	12.78	0.00	0.00	74.74	73	72	16.04	350	0.00	0.00	0.00	0.00	18.67	14.65	0.12
464	12.59	3695	2691	481	8	0	0	19	20	0	269	0.00	0.00	0.09	0.03	0.00	87.27	12.97	0.28	0.00	74.15	72	72	0.00	350	0.00	0.00	0.00	0.00	18.38	14.52	0.00
467	12.69	3697	2687	389	0	0	0	3	1	0	173	0.00	0.00	0.00	0.01	0.00	87.14	12.64	0.03	0.00	74.64	73	73	0.00	350	0.00	0.00	0.00	0.00	18.29	14.45	0.00
464	12.59	3695	2695	442	8	0	2	22	7	0	260	0.00	0.00	0.11	0.01	0.00	87.38	12.98	0.25	0.00	74.18	73	73	0.00	350	0.00	0.00	0.00	0.00	18.45	14.57	0.00
462	12.54	3698	2691	417	0	0	0	1	0	0	198	0.00	0.00	0.00	0.00	0.00	87.44	12.67	0.00	0.00	74.79	73	73	0.00	350	0.00	0.00	0.00	0.00	18.34	14.48	0.00
464	12.60	3695	2691	454	8	0	2	20	8	0	281	0.00	0.00	0.12	0.04	0.00	87.22	12.98	0.32	0.00	74.11	73	73	0.00	350	0.00	0.00	0.00	0.00	18.35	14.50	0.00
462	12.53	3698	2691	383	0	0	0	2	0	0	165	0.00	0.00	0.00	0.00	0.00	87.44	12.65	0.00	0.00	74.81	72	72	0.00	350	0.00	0.00	0.00	0.00	18.31	14.46	0.00
464	12.60	3695	2691	423	8	0	1	20	11	0	256	0.00	0.00	0.05	0.05	0.00	87.28	12.93	0.32	0.00	74.15	72	72	0.00	350	0.00	0.00	0.00	0.00	18.38	14.52	0.00
462	12.54	3698	2691	378	0	0	1	2	0	0	167	0.00	0.00	0.01	0.00	0.00	87.44	12.66	0.00	0.00	74.80	73	73	0.00	350	0.00	0.00	0.00	0.00	18.31	14.46	0.00
464	12.60	3696	2691	453	8	0	3	22	8	0	273	0.00	0.01	0.12	0.01	0.00	87.24	12.98	0.52	0.00	73.90	74	74	0.00	350	0.00	0.00	0.00	0.00	18.37	14.52	0.00
462	12.54	3697	2692	443	0	0	0	0	1	0	213	0.00	0.00	0.00	0.00	0.00	87.45	12.70	0.01	0.00	74.75	72	72	0.00	350	0.00	0.00	0.00	0.00	18.33	14.47	0.00
463	12.58	3695	2691	458	8	0	3	22	11	0	258	0.00	0.01	0.07	0.05	0.00	87.27	12.91	0.22	0.00	74.29	72	72	0.00	350	0.00	0.00	0.00	0.00	18.35	14.49	0.00
462	12.53	3699	2691	377	0	0	0	0	0	0	161	0.00	0.00	0.00	0.00	0.00	87.45	12.64	0.00	0.00	74.82	72	72	0.00	350	0.00	0.00	0.00	0.00	18.31	14.46	0.00
464	12.58	3696	2691	440	8	0	1	24	11	0	238	0.00	0.00	0.08	0.06	0.00	87.26	12.90	0.31	0.00	74.21	72	73	0.00	350	0.00	0.00	0.00	0.00	18.36	14.51	0.00
463	12.56	3698	2691	385	8	0	0	0	2	0	163	0.00	0.00	0.00	0.02	0.00	87.43	12.64	0.03	0.00	74.77	73	72	0.00	350	0.00	0.00	0.00	0.00	18.30	14.45	0.00
463	12.58	3696	2691	433	8	0	2	23	8	0	233	0.00	0.00	0.03	0.05	0.00	87.32	12.89	0.31	0.00	74.22	72	72	0.00	350	0.00	0.00	0.00	0.00	18.35	14.49	0.00
462	12.53	3699	2691	365	0	0	0	0	1	0	143	0.00	0.00	0.00	0.00	0.00	87.45	12.64	0.01	0.00	74.83	72	73	0.00	350	0.00	0.00	0.00	0.00	18.33	14.48	0.00
464	12.59	3696	2691	443	8	0	2	21	8	0	248	0.00	0.00	0.07	0.05	0.00	87.27	12.91	0.30	0.00	74.20	72	72	0.00	350	0.00	0.00	0.00	0.00	18.34	14.49	0.00
462	12.53	3699	2691	392	0	0	0	1	0	0	173	0.00	0.00	0.00	0.00	0.00	87.44	12.66	0.00	0.00	74.81	72	72	0.00	350	0.00	0.00	0.00	0.00	18.32	14.46	0.00
463	12.58	3696	2691	429	8	0	3	13	10	0	234	0.00	0.01	0.02	0.04	0.00	87.33	12.91	0.30	0.00	74.21	72	72	0.00	350	0.00	0.00	0.00	0.00	18.34	14.48	0.00
462	12.53	3698	2691	414	0	0	0	0	0	0	194	0.00	0.00	0.00	0.00	0.00	87.44	12.66	0.00	0.00	74.80	72	73	0.00	350	0.00	0.00	0.00	0.00	18.31	14.45	0.00
463	12.58	3696	2691	466	8	0	3	23	6	0	260	0.00	0.00	0.07	0.04	0.00	87.28	12.92	0.29	0.00	74.21	72	72	0.00	350	0.00	0.00	0.00	0.00	18.33	14.47	0.00
462	12.53	3698	2691	385	0	0	0	0	0	0	167	0.00	0.00	0.00	0.00	0.00	87.44	12.66	0.00	0.00	74.81	73	73	0.00	350	0.00	0.00	0.00	0.00	18.31	14.46	0.00
464	12.58	3696	2691	467	8	0	0	22	9	0	272	0.00	0.00	0.14	0.02	0.00	87.24	13.02	0.47	0.00	73.93	72	72	0.00	350	0.00	0.00	0.00	0.00	18.38	14.53	0.00
462	12.53	3699	2691	376	0	0	0	0	0	0	156	0.00	0.00	0.00	0.00	0.00	87.45	12.65	0.00	0.00	74.82	73	72	0.00	350	0.00	0.00	0.00	0.00	18.32	14.47	0.00
463	12.58	3695	2691	484	8	0	0	18	13	0	281	0.00	0.00	0.06	0.03	0.00	87.30	13.03	0.26	0.00	74.12	73	72	0.00	350	0.00	0.00	0.00	0.00	18.33	14.49	0.00
462	12.53	3698	2691	377	0	0	1	0	1	0	157	0.00	0.00	0.00	0.00	0.00	87.44	12.68	0.01	0.00	74.79	73	72	0.00	350	0.00	0.00	0.00	0.00	18.31	14.46	0.00
463	12.64	3695	2679	431	8	0	0	19	13	0	242	0.00	0.00	0.11	0.03	0.00	86.81	12.91	0.28	0.00	74.18	73	72	0.00	350	0.00	0.00	0.00	0.00	18.15	14.34	0.00
465	12.56	3694	2703	562	0	0	2	2	3	0	379	0.00	0.00	0.00	0.01	0.00	87.72	13.11	0.02	0.00	74.31	72	72	0.00	350	0.00	0.00	0.00	0.00	18.78	14.68	0.19
465	12.61	3695	2691	508	16	0	3	18	9	0	303	0.00	0.04	0.02	0.04	0.00	87.29	12.99	0.29	0.00	74.11	73	72	15.94	350	0.00	0.00	0.00	0.00	18.53	14.50	0.18
462	12.54	3698	2691	423	0	0	0	0	0	0	204	0.00	0.00	0.00	0.00	0.00	87.43	12.69	0.00	0.00	74.77	73	73	0.00	350	0.00	0.00	0.00	0.00	18.33	14.47	0.00
463	12.59	3693	2691	525	8	0	0	24	12	0	321	0.00	0.00	0.12	0.07	0.00	87.20	13.05	0.46	0.00	73.89	73	73	0.00	350	0.00	0.00	0.00	0.00	18.37	14.51	0.00
462	12.53	3699	2691	432	0	0	0	0	0	0	212	0.00	0.00	0.00	0.00	0.00	87.44	12.69	0.00	0.00	74.78	72	73	0.00	350	0.00	0.00	0.00	0.00	18.33	14.48	0.00
464	12.58	3696	2691	487	8	0	0	18	8	0	294	0.00	0.00	0.02	0.05	0.00	87.32	12.93	0.30	0.00	74.19	73	72	0.00	350	0.00	0.00	0.00	0.00	18.35	14.50	0.00
462	12.53	3698	2691	367	0	0	0	0	0	0	147	0.00	0.00	0.00	0.00	0.00	87.45	12.65	0.00	0.00	74.82	72	73	0.00	350	0.00	0.00	0.00	0.00	18.33	14.47	0.00
463	12.58	3696	2691	424	8	0	1	17	11	0	235	0.00	0.00	0.03	0.04	0.00	87.32	12.91	0.31	0.00	74.20	74	73	0.00	350	0.00	0.00	0.00	0.00	18.36	14.51	0.00
462	12.53	3698	2691	397	0	0	0	0	0	0	175	0.00	0.00	0.00	0.00	0.00	87.44	12.69	0.00	0.00	74.78	72	72	0.00	350	0.00	0.00	0.00	0.00	18.31	14.46	0.00
464	12.60	3694	2691	475	8	0	4	26	7	0	287	0.00	0.01	0.04	0.05	0.00	87.29	12.97	0.31	0.00	74.12	72	71	0.00	350	0.00	0.00	0.00	0.00	18.34	14.49	0.00
462	12.53	3697	2691	371	0	0	1	1	0	0	151	0.00	0.00	0.00	0.00	0.00	87.44	12.66	0.00	0.00	74.81	72	72	0.00	350	0.00	0.00	0.00	0.00	18.30	14.45	0.00
463	12.58	3694	2691	446	8	0	4	22	8	0	239	0.00	0.01	0.08	0.07	0.00	87.24	12.93	0.34	0.00	74.14	73	73	0.00	350	0.00	0.00	0.00	0.00	18.33	14.47	0.00
462	12.54	3697	2691	410	0	0	0	3	2	0	194	0.00	0.00	0.00	0.01	0.00	87.41	12.71	0.03	0.00	74.72	73	73	0.00	350	0.00	0.00	0.00	0.00	18.32	14.46	0.00
463	12.58	3694	2691	440	8	0	2	23	17	0	229	0.00	0.00	0.04	0.09	0.00	87.27	12.93	0.30	0.00	74.19	72	72	0.00	350	0.00	0.00	0.00	0.00	18.32	14.47	0.00
462	12.53	3696	2691	400	0	0	0	1	1	0	178	0.00	0.00	0.00	0.01	0.00	87.43	12.69	0.02	0.00	74.77	72	72	0.00	350	0.00	0.00	0.00	0.00	18.32	14.47	0.00
463	12.58	3695	2691	481	8	0	0	27	14	0	272	0.00	0.00	0.06	0.06	0.00	87.28	12.90	0.58	0.00	73.95	72	73	0.00	350	0.00	0.00	0.00	0.00	18.37	14.52	0.00
463	12.57	3693	2691	452	8	0	0	8	0	0	229	0.00	0.00	0.39	0.00	0.00	87.04	13.50	0.00	0.00	73.94	72	72	0.00	350	0.00	0.00	0.00	0.00	18.37	14.52	0.00
463	12.58	3694	2691	507	8	0	1	21	10	0	309	0.00	0.00	0.03	0.05	0.00	87.31	12.95	0.31	0.00	74.16	72	72	0.00	350	0.00	0.00	0.00	0.00	18.34	14.49	0.00
464	12.61	3694	2691	463	0	0	0	19	5	0	290	0.00	0.00	0.03	0.01	0.00	87.32	12.83	0.59	0.00	73.98	73	73	0.00	350	0.00	0.00	0.00	0.00	18.35	14.50	0.00
463	12.57	3696	2691	489	8	0	0	0	0	0	280	0.00	0.00	0.00	0.00	0.00	87.40	12.76	0.00	0.00	74.66	73	74	0.00	350	0.00	0.00	0.00	0.00	18.35	14.49	0.00
462	12.53	3697	2691	440	0	0	0	0	0	0	219	0.00	0.00	0.00	0.00	0.00	87.44	12.70	0.00	0.00	74.77	72	73	0.00	350	0.00	0.00	0.00	0.00	18.34	14.48	0.00
463	12.58	3695	2691	495	8	0	1	18	8	1	296	0.00	0.00	0.06	0.06	0.02	87.24	12.91	0.34	0.04	74.12	72	72	0.00	350	0.00	0.00	0.00	0.00	18.36	14.51	0.00
462	12.54	3697	2691	415	0	0	0	0	1	0	197	0.00	0.00	0.00	0.01	0.00	87.42	12.70	0.02	0.00	74.74	73	73	0.00	350	0.00	0.00	0.00	0.00	18.33	14.47	0.00
465	12.63	3694	2691	507	8	0	3	34	9	0	305	0.00	0.05	0.11	0.05	0.00	87.15	13.08	0.22	0.00	74.07	73	73	0.00	350	0.00	0.00	0.00	0.00	18.41	14.55	0.00
464	12.62	3693	2691	475	0	0	0	1	4	0	298	0.00	0.00	0.00	0.03	0.00	87.28	12.93	0.05	0.00	74.40	74	73	0.00	350	0.00	0.00	0.00	0.00	18.60	14.49	0.24
463	12.58	3694	2691	442	8	0	2	23	11	0	243	0.00	0.00	0.14	0.02	0.00	87.23	13.05	0.41	0.00	73.95	73	73	16.04	350	0.00	0.00	0.00	0.00	18.43	14.50	0.08
462	12.54	3697	2691	403	0	0	0	0	0	0	184	0.00	0.00	0.00	0.00	0.00	87.43	12.71	0.00	0.00	74.76	72	73	0.80	350	0.00	0.00	0.00	0.00	18.49	14.47	0.17
464	12.58	3695	2691	436	8	0	1	24	4	0	240	0.00	0.00	0.08	0.04	0.00	87.28	12.93	0.28	0.00	74.20	72	73	15.24	350	0.00	0.00	0.00	0.00	18.40	14.51	0.03
462	12.53	3698	2691	381	0	0	0	0	3	0	158	0.00	0.00	0.00	0.01	0.00	87.43	12.67	0.02	0.00	74.79	73	73	0.00	350	0.00	0.00	0.00	0.00	18.31	14.46	0.00
463	12.58	3695	2691	444	8	0	2	19	8	0	250	0.00	0.05	0.02	0.05	0.00	87.27	13.03	0.21	0.00	74.17	73	73	0.00	350	0.00	0.00	0.00	0.00	18.36	14.51	0.00
462	12.54	3697	2691	411	0	0	0	0	1	0	193	0.00	0.00	0.00	0.00	0.00	87.43	12.69	0.01	0.00	74.77	73	73	0.00	350	0.00	0.00	0.00	0.00	18.33	14.47	0.00
465	12.63	3694	2691	492	16	0	2	19	10	0	296	0.00	0.01	0.05	0.04	0.00	87.27	13.01	0.31	0.00	74.05	74	73	0.00	600	0.00	0.00	0.00	0.00	18.41	14.55	0.00
462	12.53	3696	2691	445	0	0	0	0	0	0	230	0.00	0.00	0.00	0.00	0.00	87.43	12.72	0.00	0.00	74.75	73	73	0.00	350	0.00	0.00	0.00	0.00	18.29	14.43	0.00
463	12.64	3692	2679	454	8	0	1	19	9	0	258	0.00	0.00	0.06	0.04	0.00	86.84	12.88	0.51	0.00	73.96	72	72	0.00	350	0.00	0.00	0.00	0.00	18.26	14.29	0.16
462	12.48	3697	2703	437	0	0	0	0	1	0	206	0.00	0.00	0.00	0.00	0.00	87.88	12.78	0.01	0.00	74.73	72	73	16.04	350	0.00	0.00	0.00	0.00	18.57	14.62	0.05
464	12.58	3696	2691	470	8	0	1	22	8	0	268	0.00	0.00	0.07	0.05	0.00	87.27	12.92	0.31	0.00	74.19	73	73	0.00	350	0.00	0.00	0.00	0.00	18.38	14.52	0.00
462	12.54	3697	2691	373	0	0	0	0	0	0	158	0.00	0.00	0.00	0.00	0.00	87.44	12.66	0.00	0.00	74.80	73	73	0.00	350	0.00	0.00	0.00	0.00	18.27	14.42	0.00
464	12.58	3696	2691	426	8	0	2	17	8	0	233	0.00	0.00	0.06	0.05	0.00	87.29	12.89	0.31	0.00	74.22	73	72	0.00	350	0.00	0.00	0.00	0.00	18.34	14.48	0.00
462	12.53	3698	2691	387	0	0	1	1	0	0	163	0.00	0.00	0.00	0.00	0.00	87.44	12.68	0.00	0.00	74.79	73	73	0.00	350	0.00	0.00	0.00	0.00	18.31	14.45	0.00
464	12.59	3695	2691	482	8	0	3	20	11	0	287	0.00	0.00	0.08	0.05	0.00	87.25	12.94	0.32	0.00	74.16	72	72	0.00	350	0.00	0.00	0.00	0.00	18.35	14.49	0.00
